iter	Logloss
0	0.6648290727
1	0.6335203506
2	0.6081762606
3	0.5870558087
4	0.5581769086
5	0.5320584253
6	0.5073980589
7	0.4875406406
8	0.4666474149
9	0.4443955763
10	0.4225537471
11	0.4048678314
12	0.3847194023
13	0.3705356166
14	0.3549529619
15	0.3404843185
16	0.327487682
17	0.3203703938
18	0.3070983862
19	0.2947841974
20	0.2859606367
21	0.2741023116
22	0.265320379
23	0.2551799308
24	0.2449921967
25	0.2397127423
26	0.2329647797
27	0.2263412417
28	0.2187462321
29	0.212687851
30	0.2061241655
31	0.1972233532
32	0.191050545
33	0.1863255864
34	0.1815488835
35	0.1779283773
36	0.1719855583
37	0.1662962815
38	0.161870349
39	0.1566695046
40	0.1513286138
41	0.1496089772
42	0.145154356
43	0.143128754
44	0.1394078706
45	0.1364560628
46	0.1331451552
47	0.130241082
48	0.1276785247
49	0.1230579545
50	0.1209698359
51	0.1185476122
52	0.1149106806
53	0.1118982038
54	0.1095310779
55	0.1072904876
56	0.1050691184
57	0.1017294184
58	0.09994323056
59	0.09746976363
60	0.09522312855
61	0.09315214776
62	0.0915110629
63	0.0896125112
64	0.08776127368
65	0.08650103278
66	0.08418776811
67	0.08254964687
68	0.08081847941
69	0.07991655866
70	0.07832970437
71	0.07740033472
72	0.0757297297
73	0.07418147928
74	0.07313927051
75	0.07174441089
76	0.07015976435
77	0.06888367256
78	0.06732805981
79	0.06604493409
80	0.0654541453
81	0.06470092436
82	0.06343659759
83	0.06252362908
84	0.06148944229
85	0.06037700031
86	0.05918100901
87	0.05850093171
88	0.05766226414
89	0.05693152892
90	0.05655551186
91	0.0556061117
92	0.0550504845
93	0.05465157553
94	0.05431953129
95	0.05342635013
96	0.05282656661
97	0.05221811744
98	0.05150711894
99	0.05085409437
100	0.05033414875
101	0.05004495468
102	0.04950066481
103	0.04896204875
104	0.0484890641
105	0.0478541358
106	0.04745100441
107	0.04713353009
108	0.04669034633
109	0.04609749123
110	0.04548447363
111	0.04488759596
112	0.04446021842
113	0.04410467513
114	0.04391966269
115	0.04340619377
116	0.04308289308
117	0.042658642
118	0.04203429252
119	0.04164171729
120	0.0411938078
121	0.04084093773
122	0.04056646359
123	0.04001564882
124	0.03982886229
125	0.0396762996
126	0.03938334814
127	0.03918295493
128	0.03893991566
129	0.03867221711
130	0.03817534126
131	0.037792043
132	0.03746169776
133	0.03726411259
134	0.03678836823
135	0.03651993736
